房源标题,房源地址,户型,面积,价格
金桥西棠,郑州高新技术产业开发区/高新公园道/郑州市高新区科学大道长椿路,郑州楼盘|绿化率高|人车分流|近地铁,建面 95-180㎡,总价165-300(万/套)
华发峰景湾,郑州经济技术开发区/滨河国际新城商圈/滨河国际新城经开十七 大街与经南十三路交叉口东南角,郑州楼盘|绿化率高|人车分流|国央企,建面 89-138㎡,总价130-200(万/套)
金地西湖春晓,中原区/常西湖/郑州市中原路与杭州路交汇处西南,郑州楼盘|低单价|低总价|绿化率高,建面 94-122㎡,总价90-125(万/套)
正商左岸,新郑市/南龙湖商圈/河南省郑州市龙湖镇大学南路与绕城高速交叉口南600米路西,郑州楼盘|低单价|低总价|绿化率高,建面 90-140㎡,总价48-89(万/套)
恩淇·懿品悦府,新郑市/新郑城区/新郑市新村大道与华瑞路交汇处西北角,郑州楼盘|低单价|低总价|绿化率高,建面 102-131㎡,总价58-80(万/套)
滨河春晓,郑州经济技术开发区/滨河国际新城商圈/郑州市经开区经开第十八大街经南十二路东北角,郑州楼盘|绿化率高|人车分流|国央企,建面 89-133㎡,总价160-258(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,南阳楼盘|绿化率高|大型社区|科技住宅,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,南阳楼盘|绿化率高|品牌房企|科技住宅,,总价66(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,南阳楼盘|绿化率高|大型社区|品牌房企,建面 118-185㎡,总价67-105(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,南阳楼盘|大型社区|科技住宅|水系园林,建面 128-141㎡,总价55-61(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,南阳楼盘|低单价|低总价|车位充足,建面 107-144㎡,总价39-52(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,南阳楼盘|绿化率高|小型社区|科技住宅,建面 120-146㎡,总价48-58(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,南阳楼盘|车位充足|绿化率高|养老舒适,,总价48(万/套)
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,南阳楼盘|品牌房企|科技住宅|公交直达,建面 135-144㎡,总价74-79(万/套)
